1,2,3,4
0.1614457831,0.3734939759,0.3734939759,0.0915662651
0.0887445887,0.5952380952,0.2922077922,0.0238095238
0.1417525773,0.3969072165,0.162371134,0.2989690722
0.1237113402,0.4639175258,0.2886597938,0.1237113402
0.0331812526,0.2751970137,0.6020323517,0.089589382
0.1388393741,0.4921766686,0.3363042187,0.0326797386
0.056768559,0.3318777293,0.4890829694,0.1222707424
0.4617117117,0.4375,0.0803303303,0.020457958
0.224692526,0.343897824,0.321192053,0.110217597
0.2742474916,0.4615384615,0.2274247492,0.0367892977
0.0534883721,0.3279069767,0.3651162791,0.2534883721
0.0192307692,0.2932692308,0.4903846154,0.1971153846
0.1739395789,0.4314922185,0.2859322551,0.1086359475
0.4240797546,0.4497699387,0.1133691207,0.0127811861
0.1899791232,0.6263048017,0.1649269311,0.0187891441
0.0222222222,0.5746031746,0.3936507937,0.0095238095
